ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",1784,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",419706,0.06032752331675033
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",606,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3590,0.0005160178999278869
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",390,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",6235,0.0008962037899861768
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",211,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",599,0.00008609880837236887
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",1628,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",11404,0.0016391833233363848
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",9240,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",372509,0.0535435409148293
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",3444.7370001206186,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",137968,0.019831185965807994
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",2977.7958291326827,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",60383,0.008679306086725791
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",1202,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3336093,0.48820253987022605
0,"White Alone",1,"Hispanic or Latino",2015,"2015",9456,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1429210,0.20915003029229873
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",2868,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1013785,0.14835689888811165
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",1978.0000000000002,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",19193,0.0028086960848301436
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",1026,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",18607,0.002722941074893684
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",1569,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",12065,0.0017655873632822217
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",2664,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",400798,0.05865262196674579
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",548,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3524,0.0005157007764779568
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",539,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",6412,0.0009383295626494493
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",166,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",568,0.00008312089700325752
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",1364,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",9827,0.0014380793219207952
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",8713,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",392904,0.057497417105929385
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",3945.72173372629,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",132756,0.019427460920007845
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",3182.033626472228,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",57678,0.008440575875623042
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",1335,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3309105,0.49367374705729655
0,"White Alone",1,"Hispanic or Latino",2014,"2014",9855,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1349125,0.20127121804798434
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",3258,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",987672,0.1473473150908098
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",1822,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",18255,0.002723399303597483
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",1061,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",19130,0.002853937478927409
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",1343,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",10862,0.0016204636119241775
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",2069,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",377572,0.0563286399264809
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",548,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3465,0.0005169311743065066
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",474,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",6162,0.0009192871272948611
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",219,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",596,0.00008891514571044097
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",1581,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",10650,0.0015888360768728125
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",9394,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",426153,0.06357626860728448
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",4134.581115421488,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",127555,0.01902948223338137
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",3102.6964079651752,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",56718,0.008461559118128844
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",1532,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3284636,0.4995011278419023
0,"White Alone",1,"Hispanic or Latino",2013,"2013",7781,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1253612,0.19063926957999086
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",3032,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",963956,0.14659070569462454
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",1670,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",16698,0.0025392980630742903
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",986,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",19621,0.0029838044853024706
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",1391,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",11848,0.001801748919110324
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",1886,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",360009,0.054747284488520315
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",552,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3086,0.00046929415634490716
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",526,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",6173,0.0009387403846782606
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",283,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",706,0.0001073628238430021
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",1449,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",10789,0.0016407046833458209
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",7014,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",469816,0.07144585332382984
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",3337.7887890038814,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",117140,0.01781371272658536
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",3365.2473906088985,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",57743,0.008781092828847691
